Transaction_date,Current assets: All the assets of a company that are expected to be sold or used as a result of standard business,Cost of goods sold: The total amount a company paid as a cost directly related to the sale of products,Depreciation and amortization: Depreciation refers to the loss of value of a tangible fixed asset over,"EBITDA: Earnings before interest, taxes, depreciation, and amortization. A measure of a company's overall",Inventory: The accounting of items and raw materials that a company either uses in production or sells,Net Income: The overall profitability of a company after all expenses and costs have been deducted from total,Total Receivables: The balance of money due to a firm for goods or services delivered or used but not yet paid for
10/1/2024,0.671,2.652,0.105,-0.761,0.006,-1.023,0.491
10/1/2024,410.521,157.143,2.359,-72.691,0,-68.334,5.048
10/1/2024,24711.7,4220.9,487.3,2381.6,251.9,963.1,19692.2
10/1/2024,1288,11994.2,52.2,127,689,45.5,492.9
10/2/2024,656.623,708.832,37.409,226.886,156.602,124.15,263.387
10/2/2024,4163,12099,2191,10733,742,5966,1755
10/2/2024,218.312,106.897,16.802,-10.245,0,-35.397,20.266
10/2/2024,17.249,2.736,0.688,0.795,0,0.264,2.85
10/2/2024,151.267,179.085,13.611,71.451,51.429,45.574,66.136
10/2/2024,185.74,223.873,7.672,72.446,30.001,70.455,36.622
10/2/2024,1390,4639,309,1533,99,736,1015
10/2/2024,73.091,184.793,4.834,41.805,0,23.909,54.807
10/2/2024,460.331,159.453,187.174,461.039,0,128.687,221.615
10/2/2024,8.173,2.484,0.163,-2.82,1.864,-3.402,1.452
10/2/2024,2400.867,4824.99,201.503,460.57,936.047,98.626,1290.258
10/2/2024,168.804,1489.686,40.849,-10.688,57.82,-60.273,68.248
10/2/2024,655.002,115.543,12.06,56.49,0,3.561,176.836
10/2/2024,703.907,724.984,60.026,201.538,231.172,35.341,269.987
10/2/2024,85.45,72.248,0.444,5.393,6.371,5.3,67.468
10/3/2024,226.672,498.315,18.593,40.975,124.504,-31.168,86.123
10/3/2024,1476.421,1836.015,88.268,349.508,512.522,96.507,793.911
10/3/2024,3027,5926,134,343,815,-17,551
10/3/2024,3210.409,713.482,144.93,992.723,282.39,467.318,280.072
10/3/2024,1812,1789,640,790,142,150,976
10/3/2024,1089.1,1285.9,215.2,583.7,298,282.8,545.8
10/3/2024,0.112,0,0,-0.351,0.004,-0.817,0
10/3/2024,8.15,1.018,1.748,-23.865,3.342,-32.146,1.002
10/3/2024,4.393,6.139,1.063,-5.437,0,-15.118,0.258
10/3/2024,21.209,11.809,0.383,1.346,8.728,2.49,4.423
10/3/2024,123.466,156.804,5.199,7.795,36.964,1.845,43.068
10/3/2024,458.861,241.443,112.383,50.227,122.837,-139.977,114.976
10/4/2024,179.865,261.787,14.095,15.173,96.231,-53.545,53.835
10/4/2024,9.073,25.973,2.376,8.304,3.44,2.144,3.945
10/4/2024,893.946,654.176,59.011,255.567,0,125.684,222.464
10/4/2024,894.4,1067.6,104.4,357.9,214.5,206.9,288.2
10/4/2024,3269.9,6270,118.1,757.5,1227.7,471.9,1521.6
10/4/2024,10720,11255,2016,6825,4759,2602,1322
10/4/2024,30.136,9.017,1.89,-17.614,8.224,-20.213,2.72
10/4/2024,22.045,339.373,17.825,37.625,2.479,-8.994,9.599
10/4/2024,0.008,1.672,0.004,-1.797,0,-1.851,0
10/4/2024,25.653,17.823,0.16,-16.035,0,-20.533,0
10/4/2024,74.808,155.652,6.288,-118.868,0.055,-159.692,0.938
10/4/2024,136.3,158.1,83.7,100.3,15.8,36.8,36
10/4/2024,232.44,112.256,179.773,494.767,0,260.022,141.788
10/4/2024,600.237,1163.129,148.832,285.969,162.087,-200.808,215.486
10/4/2024,493.487,8.293,7.063,165.507,25.659,110.993,102.922
10/5/2024,122.265,71.548,9.122,50.829,33.572,34.255,17.014
10/5/2024,4459,3057,1904,2543,245,-282,1001
10/5/2024,28.131,21.208,0.357,-20.708,0,-11.883,0.068
10/5/2024,287.39,482.39,24.2,63.51,112.804,9.035,154.484
10/5/2024,4549,1389.064,57.9,1598.109,931.845,802.265,675.13
10/5/2024,6109,9891,342,1055,2245,55,2572
10/5/2024,1586,3665,106,839,766,394,732
10/5/2024,228.672,117.377,15.815,-23.884,0,-52.627,33.875
10/5/2024,1403.55,2306.235,49.122,117.025,309.975,22.817,608.449
10/5/2024,6447.6,4002.3,144.1,2708.5,1151.2,2444.4,2272
10/5/2024,388.54,280.27,35.26,220.182,5.122,88.021,58.332
10/5/2024,196.596,154.426,21.142,40.068,32.956,-10.674,84.267
10/5/2024,175.294,245.982,37.184,100.012,77.349,30.525,7.93
10/5/2024,6199,8576,667,3138,1857,2565,2361
10/5/2024,145.779,182.961,50.123,-71.726,0,-159.268,75.609
10/6/2024,439.353,923.451,35.524,115.688,214.871,20.846,130.538
10/6/2024,5161,7354,2000,6227,1418,2447,2080
10/6/2024,166.165,261.233,16.189,66.259,35.411,37.437,40.357
10/6/2024,352.262,243.382,6.219,56.649,93.988,39.94,59.585
10/6/2024,518.858,451.121,60.8,213.87,0,147.462,303.609
10/6/2024,61837,16857,1961,14750,1846,110,10503
10/6/2024,76.809,149.964,9.342,21.94,1.202,10.182,12.262
10/6/2024,228.063,144.815,22.621,66.123,22.99,21.524,50.51
10/6/2024,224.118,992.863,13.261,176.461,0,119.346,192.472
10/6/2024,201.472,82.112,27.145,30.544,0,-105.029,32.884
10/6/2024,20.021,10.349,1.091,2.848,3.044,-14.787,8.894
10/6/2024,392.106,857.508,27.206,119.478,0,61.4,364.159
10/6/2024,152.51,363.07,23.888,44.573,24.111,-22.28,87.173
10/7/2024,485.239,249.775,26.047,61.505,139.314,-32.181,149.276
10/7/2024,2174,4892,2230,3021,0,165,955
10/7/2024,2050.1,7388.409,161.858,1319.086,963.527,1012.14,604.433
10/7/2024,6996,17248,1322,4347,2241,2012,3916
10/7/2024,1888,1560.5,330.8,740.7,598.9,-1011,701.9
10/7/2024,521.68,81.593,8.9,-37.64,0,-38.33,32.636
10/7/2024,429.834,422.642,69.546,147.228,197.536,42.017,149.986
10/7/2024,0.978,0.507,0.084,-0.418,0,-0.601,0.214
10/7/2024,192.209,92.664,3.831,-27.463,0,-27.379,0.414
10/7/2024,124.338,48.829,2.421,-46.309,0,-48.435,0
10/7/2024,0.319,0.9,3.291,-11.788,0,-23.849,0
10/7/2024,380.298,522.74,29.25,113.294,124.491,50.437,108.371
10/8/2024,503.833,1160.903,196.328,593.365,117.299,258.442,269.153
10/8/2024,1694.343,3381.772,188.808,624.761,1124.992,333.684,107.102
10/8/2024,706.983,7574.179,2.626,0.271,542.682,-3.397,147.833
10/8/2024,4134,10055,733,3069,1644,227,1003
10/8/2024,565.56,833.951,85.86,188.537,134.988,6.135,324.353
10/8/2024,3180,3409,674.3,3555.5,1032.7,1543,972.6
10/8/2024,131.926,241.949,14.965,44.543,3.775,17.135,12.26
10/8/2024,3580.849,780.905,598.178,850.641,75.379,-40.475,215.296
10/8/2024,23.832,15.491,0.095,0.913,0,0.459,10.586
10/9/2024,487.966,398.014,44.515,2.299,0,-52.658,82.31
10/9/2024,1088.695,1601.733,68.357,101.256,468.897,14.099,321.995
10/9/2024,2343.15,882.457,688.53,1258.619,322.179,-1031.469,519.651
10/10/2024,502.627,566.984,32.812,15.625,137.076,-316.121,256.91
10/10/2024,62.608,76.506,6.152,14.872,30.161,5.73,23.486
10/10/2024,139.409,438.634,21.756,58.574,60.482,24.433,64.493
10/10/2024,1140.783,2286.553,408.029,1259.767,18.089,576.656,527.175
10/10/2024,205.196,70.628,1.204,-65.888,0,-66.598,0.5
10/10/2024,164.368,371.41,36.305,92.601,108.65,21.68,26.571
10/10/2024,140.207,223.729,34.63,29.901,35.196,-18.123,3.213
10/10/2024,519.237,1082.448,16.513,116.023,102.367,78.15,236.742
10/10/2024,137.503,72.667,0.527,-41.742,0,-38.924,6.511
10/10/2024,145.519,116.669,4.435,73.498,38.888,55.789,1.011
10/10/2024,48.12,25.442,9.292,-23.031,9.932,-45.787,11.391
10/10/2024,123.586,148.432,7.131,-8.083,101.962,-55.659,14.065
10/10/2024,256.347,340.592,135.04,206.306,16.218,-49.04,206.624
10/10/2024,887.172,1228.763,318.613,250.493,234.518,-67.623,302.607
10/10/2024,897.836,1333.266,161.779,521.897,127.892,226.373,472.248
10/10/2024,1206.914,2224.174,225.734,404.345,109.377,173.584,810.906
10/10/2024,482.166,1439.691,41.237,257.163,0,141.741,416.813
10/10/2024,293.399,232.497,23.157,70.352,91.849,9.031,148.88
10/10/2024,991.1,3006,163.6,757.4,18.5,427.9,615
10/10/2024,1963.411,1445.949,91.281,875.823,0,446.187,845.108
10/11/2024,1762,2164.8,102.5,349.1,542,-19.5,418.9
10/11/2024,659.6,1504.7,167,460.3,210.3,214.2,303.7
10/11/2024,36.705,59.381,1.979,-5.98,2.916,-7.816,24.045
10/11/2024,3175.643,3952.942,47.267,239.143,0,83.436,2919.515
10/11/2024,255.243,120.566,0.6,-103.449,0.6,-112.356,0.249
10/11/2024,50.731,36.323,43.275,100.803,0,57.821,39.636
10/11/2024,75101,127056,12575,24817,16655,10073,13310
10/11/2024,61.499,92.328,3.801,50.041,0,16.491,31.551
10/11/2024,3.886,3.405,1.285,-2.367,0,-16.078,1.277
10/11/2024,1536.648,2041.264,63.348,338.221,503.869,160.239,673.737
10/11/2024,102.983,175.588,4.599,-14.935,10.122,-11.615,6.87
10/11/2024,0.979,0.122,0.051,-0.3,0.034,-0.25,0
10/11/2024,19442,9851,989,12366,8804,7911,3564
10/11/2024,16.285,12.962,1.709,-12.499,0,-16.105,0.075
10/12/2024,9.946,5.483,6.745,10.237,0,1.023,6.878
10/12/2024,0.228,0.256,0.003,0.057,0.132,0.034,0.022
10/12/2024,7575.69,12751.286,241.635,1381.65,3609.389,810.474,2493.636
10/12/2024,723.216,724.053,46.7,483.127,283.982,341.054,274.608
10/12/2024,75.47,64.14,0.965,5.83,42.365,1.459,16.477
10/12/2024,2318.804,592.712,642.228,1467.201,25.029,630.059,1183.494
10/12/2024,130.802,49.871,3.034,-13.056,16.117,-18.337,16.185
10/12/2024,27.67,13.084,0.483,-0.383,6.734,-3.745,3.918
10/12/2024,228.819,37.298,42.916,138.042,0,63.491,58.45
10/12/2024,89.501,67.129,4.244,14.294,0,6.925,34.849
10/12/2024,3112.639,4719.566,474.76,715.938,740.205,113.74,1448.343
10/12/2024,332.263,1660.346,259.145,381.071,35.669,59.331,210.428
10/12/2024,172.863,361.132,19.303,112.334,0,10.835,56.456
10/12/2024,77.74,89.758,12.857,5.888,22.942,-8.232,33.229
10/12/2024,177.804,319.831,20.428,60.06,0,24.559,122.446
10/12/2024,36.362,326.37,18.538,71.722,9.296,41.68,19.476
10/12/2024,2849.3,5904.9,231,1080.6,1012.6,617,1027.8
10/13/2024,9818,17446,608,3024,3759,2141,3983
10/13/2024,38465,202446,802,3816,16709,34,18246
10/13/2024,7.031,18.1,0.568,-0.333,3.193,-3.706,3.053
10/13/2024,8281,18429,6486,11833,1084,2888,4369
10/13/2024,464.637,225.897,461.479,694.335,19.916,114.568,132.92
10/13/2024,1350.436,1694.498,67.651,345.599,293.495,257.573,417.63
10/13/2024,366.424,603.65,44.061,433.046,25.851,223.749,27.247
10/13/2024,1345,3475,327,649,14,769,427
10/14/2024,3645,7545,1549,4142,296,1050,1850
10/14/2024,418.51,535.492,19.714,124.156,94.09,59.473,202.139
10/14/2024,1368.3,1255.3,670.1,1208.7,215.6,-352.4,813.3
10/14/2024,63.111,127.835,5.8,8.13,47.289,-1.614,13.468
10/14/2024,624.983,508.201,79.826,175.682,164.733,89.991,120.656
10/14/2024,6.515,11.853,1.282,-0.427,1.564,1.465,2.218
10/14/2024,88.602,148.226,7.977,12.116,53.271,-2.022,28.896
10/14/2024,193.117,336.599,43.782,151.096,32.225,74.244,38.454
10/14/2024,2309.6,2922.9,288.5,821.7,613,207.1,908
10/14/2024,275.765,326.983,85.719,124.224,6.305,19.815,38.305
10/14/2024,28.473,4.02,1.6,-6.195,0,-9.252,12.607
10/14/2024,179.168,79.749,18.095,37.612,45.478,-2.84,51.432
10/14/2024,10.447,29.458,0.274,-11.297,0,-16.576,6.303
10/14/2024,709.116,906.399,68.098,743.774,16.734,417.867,366.913
10/14/2024,4.928,7.864,0.355,-13.459,0,-18.75,0.296
10/14/2024,397.528,6.615,115.126,142.717,0,-0.289,225.73
10/14/2024,1699.5,339.1,28.6,-157.7,70.7,-127.1,226.7
10/14/2024,1511.123,738.313,45.792,-23.69,4.612,-36.585,542.496
10/14/2024,22.212,5.052,0.79,3.798,2.361,1.902,11.563
10/14/2024,450.417,2086.369,158.832,571.575,5.055,-175.75,352.061
10/15/2024,12519,53049,2474,6584,9497,2937,1100
10/15/2024,1287.2,1967.2,120,654.7,273,394.6,127.6
10/15/2024,15.545,46.986,6.956,18.549,8.541,7.297,3.914
10/15/2024,46386,6765,2919,16876,320,11083,5910
10/15/2024,580.561,1803.496,140.986,304.874,44.619,15.04,362.847
10/15/2024,47.697,170.994,2.195,-12.671,22.94,-4.322,10.241
10/15/2024,95.633,57.745,4.614,0.353,30.597,3.581,27.717
10/15/2024,62.407,66.213,4.595,15.796,25.104,5.85,20.343
10/15/2024,2385.64,6609.22,62.997,417.937,948.726,227.343,1288.464
10/15/2024,34.678,969.296,58.468,91.399,10.396,10.104,11.693
10/15/2024,58.785,210.746,5.987,0.981,49.626,-4.889,3.727
10/15/2024,266.435,434.68,14.223,-88.041,0,-282.368,80.95
10/15/2024,4.88,4.215,0.401,0.685,1.291,0.217,0.766
10/16/2024,188.702,485.286,83.781,212.91,6.586,65.584,122.959
10/16/2024,21387,47355,528,4854,6062,5327,8003
10/16/2024,183.071,258.288,15.123,70.964,54.076,51.794,56.572
10/16/2024,51427,79419,28430,56574,4015,19370,26472
10/16/2024,1517.161,2555.022,48.296,180.091,794.346,13.04,394.827
10/16/2024,703.125,1037.571,21.754,213.854,137.247,129.136,266.452
10/16/2024,201.134,77.111,250.553,382.032,0,165.458,61.186
10/16/2024,140.434,54.662,1.567,-126.153,0,-125.745,2.814
10/16/2024,9.66,17.998,0.672,2.19,1.965,1.45,4.75
10/16/2024,146.902,30.332,1.302,-53.686,13.539,-57.564,11.729
10/16/2024,808.632,1745.967,62.192,361.528,0,220.751,395.128
10/16/2024,653.595,44.161,26.032,-207.366,53.239,-222.693,146.281
10/16/2024,1201.4,1050,49.7,369.1,497.9,205,312.5
10/17/2024,4.61,18.971,0.946,4.964,0.49,3.786,0.192
10/17/2024,19.308,23.206,0.263,4.358,6.556,3.747,3.512
10/17/2024,5.679,8.109,0.278,1.146,3.016,0.707,1.296
10/17/2024,2352.44,2471.736,271.932,218.468,542.889,-530.993,970.083
10/17/2024,139.053,75.186,7.924,48.989,41.993,23.849,32.336
10/17/2024,331.051,379.729,16.514,64.798,79.233,20.277,69.107
10/17/2024,5.468,2.389,0.768,-10.951,0,8.744,1.829
10/17/2024,363.775,454.321,85.94,183.281,0,78.481,120.804
10/17/2024,62.076,12.71,1.264,-40.826,6.824,-45.929,6.294
10/17/2024,7549.923,19653.411,773.703,1352.758,3457.706,86.33,1693.268
10/17/2024,3804.6,7868.9,431.3,1715,780.8,930.7,1998.8
10/17/2024,54.475,65.412,3.668,7.063,9.913,1.87,34.651
10/17/2024,14.645,20.253,3.203,-16.094,0,-18.007,1.796
10/17/2024,0.16,0.112,0.002,-0.691,0.026,-0.399,0.003
10/18/2024,63.727,9.857,1.691,-4.703,0,-8.101,3.026
10/18/2024,281.22,616.457,24.517,77.616,166.392,35.08,101.259
10/18/2024,502.731,319.44,84.333,149.96,29.18,42.055,120.515
10/18/2024,716.092,1652.244,145,380.985,321.377,128.416,222.377
10/18/2024,63.649,53.028,1.68,-38.171,0,-39.593,5.378
10/18/2024,713.6,240.5,33.5,75.9,121.4,57.5,150.5
10/18/2024,14.758,36.377,1.455,1.128,0.449,-1.421,10.84
10/18/2024,311.063,1270.768,49.729,178.992,137.182,66.244,160.266
10/18/2024,17.176,13.353,0.05,-1.432,11.076,3.958,5.226
10/18/2024,1768,162.8,35.9,846.7,101,589.2,175.7
10/18/2024,73.302,0.902,1.494,-67.88,0.238,-65.441,0.94
10/18/2024,397.134,363.443,51.35,102.558,100.868,37.729,204.974
10/18/2024,1301.954,46.977,81.283,380.835,26.206,122.246,139.587
10/18/2024,70.247,37.266,0.873,14.126,9.614,36.901,25.269
10/19/2024,1096.489,2200.197,224.972,487.624,507.441,78.452,521.883
10/19/2024,246.385,313.055,12.344,-1.542,102.379,-46.091,75.321
10/19/2024,140.861,311.809,17.655,75.333,77.612,42.572,60.209
10/19/2024,939.462,1549.428,77.503,138.275,344.491,-648.443,344.249
10/19/2024,43.085,32.852,1.263,-0.168,1.351,-2.584,7.013
10/19/2024,54.974,89.909,9.399,18.835,0.898,3.394,6.035
10/19/2024,11781.2,9631.3,641.7,1591.8,2546.2,-1921.6,3231.8
10/19/2024,19.389,17.911,3.404,3.777,6.405,1.06,5.417
10/19/2024,409.355,550.492,26.501,54.551,0,120.642,179.923
10/19/2024,550.313,3377.076,561.06,1780.121,90.202,954.843,55.249
10/19/2024,1.185,3.815,0.578,-2.857,0,-3.252,0.817
10/19/2024,84.352,121.402,13.733,12.116,26.431,-8.058,20.633
10/19/2024,439.985,1678.1,51.8,164.542,0,82.097,405.378
10/19/2024,73.622,41.674,0.543,26.909,7.976,20.139,16.451
10/19/2024,3859.523,1717.567,134.3,174.413,444.818,144.326,612.775
10/19/2024,232.264,210.914,6.786,18.809,0,4.636,32.782
10/19/2024,2.713,5.709,0.828,-5.15,1.349,-8.91,0.466
10/19/2024,115.872,151.523,39.541,25.027,20.673,13.922,42.639
10/20/2024,10747,8998,457,5258,3722,3313,2565
10/20/2024,175.248,123.112,9.41,30.941,42.684,43.84,33.016
10/20/2024,544.089,1180.756,105.423,142.379,285.03,-24.365,198.468
10/20/2024,33.307,28.315,0.945,-17.255,12.248,-21.516,11.112
10/20/2024,29.906,32.063,4.313,45.238,0.299,21.719,5.764
10/20/2024,103.398,37.921,4.609,-13.616,12.119,26.761,10.743
10/20/2024,0.095,2.923,0.119,-0.797,0.02,-1.757,0.032
10/20/2024,13.301,14.502,0.38,-7.884,1.262,-9.023,1.836
10/20/2024,1.811,0.658,0.045,-0.428,0.376,-0.497,0.004
10/20/2024,4.229,2.55,1.614,-5.255,0.999,-6.869,1.63
10/20/2024,12.513,11.007,0.773,-7.307,0.958,-8.101,3.676
10/20/2024,897.016,18.579,7.769,446.624,9.838,690.07,178.827
10/20/2024,15.233,12,0.169,-6.012,1.021,-6.658,5.374
10/21/2024,1862,6475,1102,4983,207,2666,1009
10/21/2024,378.965,37.281,28.904,82.29,0,57.304,75.825
10/21/2024,-,2.2,-,-,-,-,-
10/21/2024,6.238,2.2,0.503,5.845,0,5.014,2.801
10/21/2024,405.514,22.138,0.774,-64.884,0,-88.853,100
10/21/2024,168.751,188.839,2.702,12.982,33.868,2.767,95.986
10/21/2024,39.372,27.923,0.303,-17.592,0,-39.171,4.471
10/21/2024,747.3,1983.9,255.9,609.5,0,-244.7,599.6
10/21/2024,28.41,47.577,5.463,41.79,0,30.047,12.323
10/21/2024,43.637,204.306,18.226,42.791,0.677,-3.192,36.339
10/21/2024,3.046,0.673,0.425,2.169,0.24,1.011,0
10/21/2024,1805.424,582.109,80.271,598.082,403.579,404.027,265.611
10/21/2024,7.244,2.467,0.635,-2.435,2.682,-3.23,2.146
10/22/2024,29.994,91.033,3.213,12.785,0,23.352,16.775
10/22/2024,21.217,10.303,4.753,-19.425,6.414,-41.117,7.27
10/22/2024,334.002,96.226,10.274,17.875,0,-0.221,25.127
10/22/2024,159.915,26.607,12.915,7.999,3.117,-7.548,16.028
10/22/2024,167.62,207.174,72.428,38.883,3.066,-88.94,99.869
10/22/2024,171.405,480.215,5.24,13.385,71.845,5.546,93.967
10/22/2024,0.656,1.589,0.166,-1.175,0.013,-1.35,0.036
10/22/2024,23.929,10.33,5.427,-1.956,0,-12.975,15.362
10/22/2024,3600,7956,421,1522,412,268,1024
10/22/2024,580.251,856.084,28.568,110.937,0,16.146,275.827
10/23/2024,1234.3,1549.4,71,302.7,250,137.3,225.2
10/23/2024,11151,19403,1606,4338,3028,1656,5234
10/23/2024,25875,9171,4317,13404,5440,6220,7226
10/23/2024,175.113,578.78,243.605,225.794,0.473,-45.288,121.736
10/23/2024,5997.1,18326.4,85.8,913.4,0,556.7,5276.1
11/23/2024,194.275,143.792,29.698,30.96,93.256,-2.146,30.534
10/23/2024,133.93,194.082,162.548,258.736,0,18.826,119.332
10/23/2024,11.183,6.905,0.452,-16.433,2.302,-23.938,3.973
10/23/2024,1.928,0.214,0.003,1.017,0.007,1.029,1.831
10/23/2024,356.662,722.618,16.699,8.776,47.121,-42.047,225.366
10/23/2024,3289.205,9257.05,721.723,2869.344,290.733,1575.091,639.855
10/23/2024,41.743,98.468,8.544,-13.105,0,-38.816,26.898
10/23/2024,5.749,0.169,0.246,-3.848,0.082,-3.964,1.062
10/23/2024,156.683,271.65,2.178,16.136,94.325,8.636,60.228
10/23/2024,55.187,0,0.038,-35.258,0.056,-34.004,0
10/23/2024,2220.9,394.7,55.7,286.7,90,332.2,444.5
10/23/2024,310.969,586.191,30.529,89.628,94.607,37.984,104.797
10/23/2024,335,1121.1,142.5,263.7,110.4,26.2,76.1
10/23/2024,240.065,55.961,41.786,54.317,0,7.562,31.569
10/24/2024,61.041,100.407,2.358,5.077,34.126,10.41,25.168
10/24/2024,241.42,712.392,74.666,204.055,106.27,82.345,108.511
10/24/2024,10638,11056,2056,5913,2944,675,2197
10/24/2024,4857.039,946.4,339.7,3180.069,0,2590.774,1315.578
10/24/2024,185.056,216.677,17.384,54.76,0,26.856,141.735
10/24/2024,12.359,12.252,1.185,-1.113,0.379,-10.62,7.681
10/24/2024,22.876,18.18,0.154,-16.716,0.181,-13.48,0.168
10/24/2024,282.976,106.867,4.953,-91.78,0,-95.357,12.037
10/24/2024,3.06,8.57,0.15,-1.386,1.356,-1.541,1.248
10/24/2024,10.138,0,0.018,-25.439,0,-25.406,0.006
10/24/2024,534.031,831.513,123.53,131.85,209.393,-19.105,293.136
10/24/2024,1073.771,1540.856,127.204,-142.525,308.146,-811.091,292.167
10/24/2024,765.556,1417.137,141.41,402.674,441.483,67.015,198.046
10/24/2024,199.095,361.564,19.085,92.466,86.2,43.905,81.485
10/25/2024,34021,119989,19419,33865,5704,14824,15050
10/25/2024,9714,15326,4074,9195,3084,2666,3134
10/25/2024,37.419,39.048,7.664,33.598,0.563,17.934,18.92
10/25/2024,2645,9149,1577,4312,102,1925,2275
10/25/2024,215.493,447.947,22.984,84.497,0,46.703,71.336
10/25/2024,370.432,492.575,26.848,147.776,125.19,95.608,7.089
10/25/2024,19.288,0.115,0.033,-13.1,0,-12.897,0.185
10/25/2024,0.406,0.321,0.015,-2.066,0.01,-2.058,0.112
10/25/2024,767.075,1179.259,259.195,1015.977,0,389.477,547.285
10/25/2024,601.6,411.1,96.7,312.5,0,183,174
10/25/2024,218.864,294.489,6.664,22.769,65.929,12.008,86.527
10/26/2024,1125.7,1722,76.7,456.7,334.1,180.3,534.6
10/26/2024,101.19,169.769,5.781,23.64,52.773,14.506,31.419
10/26/2024,14.54,1.063,0,5.855,0,5.849,7.97
10/26/2024,240.56,389.149,56.412,170.619,41.995,84.219,79.291
10/26/2024,473.527,1102.035,51.529,-116.295,347.584,-198.833,21.189
10/26/2024,276.662,370.663,12.903,4.568,103.897,-7.152,99.452
10/26/2024,0.044,0.607,0,-0.481,0,-0.442,0.017
10/26/2024,0.264,0.898,0.007,-4.141,0,-17.577,0.205
10/26/2024,207.922,144.637,1.726,-140.908,0,-142.568,27
10/26/2024,204.986,482.684,5.683,6.753,32.698,-1.845,135.687
10/26/2024,789.892,1377.412,42.961,284.918,275.13,153.206,425.652
10/26/2024,285.534,1562.073,90.831,179.03,7.324,24.899,210.684
10/26/2024,27.961,0.386,0.177,-29.156,0,-32.575,2.864
10/26/2024,427.849,218.804,2.388,-66.942,22.625,-80.33,30.005
10/26/2024,473.064,378.103,134.707,341.164,87.154,97.966,156.974
10/26/2024,880.2,1279.3,70.7,274.1,340.6,106.7,428.4
10/26/2024,5651,929,360,2507,0,2422,2537
10/26/2024,285.212,280.206,29.419,37.839,90.182,14.263,52.026
10/26/2024,253.259,120.082,1.419,-93.364,0.327,-72.434,0.306
10/27/2024,3864,8366,1438,3971,358,1382,2115
10/27/2024,16039,7741,4759,19696,3595,14135,5478
10/27/2024,7748.8,5272.2,356,1084,1583.1,-6917.9,1850.7
10/27/2024,885.7,1723.8,83.4,428.4,481.4,63.7,310.5
10/27/2024,10.304,8.8,0.18,0.524,4.234,0.17,2.342
10/27/2024,56.164,28.413,0.698,9.969,2.365,7.588,15.866
10/27/2024,4.263,31.982,4.307,-7.997,0.164,-12.908,1.658
10/27/2024,1138.8,4114.9,99.2,184.3,565.3,-21.9,473.5
10/27/2024,318.29,1103.425,16.079,-3.934,122.638,-58.208,57.649
10/27/2024,420.361,311.227,54.543,97.457,0,-15.671,55.694
10/27/2024,2991.4,10044.4,75.4,528,2365.3,265.7,546.5
10/27/2024,46.825,64.324,0.65,-29.659,4.039,-32.126,7.351
10/27/2024,98.19,159.921,7.771,22.18,0,5.677,75.934
10/27/2024,1.452,0.268,0.148,-7.08,0.241,-10.086,0.731
10/28/2024,383.959,538.576,27.8,123.387,127.223,36.604,136.576
10/28/2024,2404,730,253,1831,0,1211,137
10/28/2024,1022.22,261.868,72,261.561,194.146,155.057,242.955
10/28/2024,138.65,230.099,15.671,4.037,0,-7.244,36.246
10/28/2024,4427.4,1778.3,1038.5,2463.2,2256.5,-379.2,1275.8
10/28/2024,32.843,14.678,1.843,-2.658,1.834,14.625,1.964
10/28/2024,45.199,42.063,1.914,-3.264,32.365,-9.461,6.376
10/28/2024,0.338,2.712,0.083,-0.746,0,-1.253,0.3
10/28/2024,1418.9,9216.9,819.6,1267.1,164.7,1.6,865.5
10/29/2024,11.439,16.599,0.65,-16.122,0.645,-31.837,0.119
10/29/2024,1805,2263.7,100.4,768.8,381.8,296.6,79.3
10/29/2024,756,355,331,698,40,48,104
10/29/2024,1500,2042,218,2176,75,1143,452
10/29/2024,104.429,205.932,35.6,139.257,1.774,71.205,34.967
10/29/2024,20.519,42.325,0.274,4.551,9.804,2.921,4.156
10/29/2024,159.427,79.041,121.976,284.112,0.912,-28.632,108.457
10/29/2024,1147.507,1748.291,62.626,484.045,518.496,329.223,523.892
10/29/2024,1.456,0.452,0.285,-6.528,0.197,-7.442,0.275
10/29/2024,5095.2,19370.2,103.7,768.6,4040.1,471,929.1
10/29/2024,93.564,76.379,3.366,93.577,0,-10.484,67.202
10/29/2024,4.04,336.002,2.199,1.036,1.51,-0.523,0.379
10/29/2024,1.528,6.967,0.164,-4.656,0.936,-4.744,0.21
10/30/2024,374.171,588.16,34.4,99.063,138.685,46.803,182.308
10/30/2024,508.136,1762.709,9.272,112.509,41.443,83.524,341.838
10/30/2024,1532.342,1687.432,104.136,358.406,69.477,271.206,601.446
10/30/2024,0.982,1.566,0.159,-4.217,0,-4.253,0.204
10/30/2024,163.044,107.213,12.27,18.94,41.644,1.303,50.817
10/30/2024,8.471,16.841,0.158,-15.17,0,-15.191,0.205
10/30/2024,3948,1789,818,1065,474,-1996,604
10/30/2024,2159,3183,354,2056,669,586,1223
10/30/2024,323.315,65.179,159.968,389.088,0,-140.671,198.62
10/30/2024,250.688,26.667,28.409,-102.768,3.55,-120.011,33.571
10/30/2024,1045.86,1214.041,84.691,767.672,268.821,512.611,535.528
10/30/2024,3.333,3.819,0.092,-0.114,0.27,-0.223,0.499
10/30/2023,75.921,37.757,0.002,-29.557,0,-65.997,22.666
10/30/2024,7099.753,18023.321,225.287,821.455,2518.319,300.598,3855.497
10/30/2024,1234.005,106.311,216.731,931.965,52.956,447.098,263.838
